objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,redshift,redshift_err,class
1237650370475262376,22.46968,20.82102,19.04122,18.26992,17.75219,0.1906166,0.1485271,0.1027504,0.07635455,0.05679375,0.4475215,6.883376e-05,GALAXY
1237650370475262406,22.6896,21.18757,20.01004,19.21874,18.77099,0.1981127,0.154368,0.1067911,0.07935723,0.0590272,0.5191865,0.0001027566,GALAXY
1237650370475262425,24.4694,22.23738,20.852,20.05307,19.77968,0.1944962,0.1515501,0.1048417,0.0779086,0.05794968,0.5029967,0.0001590668,GALAXY
1237650370475262445,22.35182,21.2844,20.22735,19.32442,18.72934,0.1890706,0.1473225,0.101917,0.07573528,0.05633314,0.6150956,3.141959e-05,GALAXY
1237650370475262640,23.10072,22.09237,20.32983,19.26554,18.88413,0.1907488,0.1486302,0.1028217,0.07640752,0.05683316,0.5706794,7.990778e-05,GALAXY
1237650370475262651,22.75661,22.00386,20.84403,20.00269,20.06722,0.1923177,0.1498526,0.1036673,0.07703595,0.05730059,0.5630948,0.0002477922,GALAXY
1237650370475262729,23.12446,22.40094,20.85353,19.90916,19.34738,0.1834334,0.14293,0.09887834,0.0734772,0.05465354,0.504308,0.0001380188,GALAXY
1237650370475327639,22.523,19.95944,18.21725,17.52118,17.10175,0.1899333,0.1479947,0.1023821,0.07608084,0.05659017,0.4022309,5.442262e-05,GALAXY
1237650370475327751,22.53732,21.71519,20.15798,19.32752,18.83485,0.189961,0.1480164,0.102397,0.07609197,0.05659845,0.502589,7.441133e-05,GALAXY
1237650370475327787,24.98329,22.4693,20.56189,19.57145,19.36241,0.1835849,0.1430481,0.09896,0.07353788,0.05469867,0.4693156,0.0001328287,GALAXY
1237650370475328052,23.9432,22.07937,20.47858,19.62004,19.31659,0.1925268,0.1500156,0.1037801,0.07711973,0.05736291,0.4728995,9.790062e-05,GALAXY
1237650370475328074,21.70094,21.14199,20.24836,19.52868,19.16422,0.1959813,0.1527073,0.1056422,0.0785035,0.05839218,0.6174428,9.089135e-05,GALAXY
1237650370475328122,23.00234,21.65541,20.6628,19.79498,19.4584,0.1965084,0.153118,0.1059263,0.07871461,0.05854921,0.570034,0.0002054917,GALAXY
1237650370475458836,22.27869,20.75813,18.94801,18.21838,17.78069,0.204791,0.1595718,0.110391,0.08203235,0.061017,0.4057014,6.272141e-05,GALAXY
1237650370480374036,20.07119,18.06819,17.00324,16.55803,16.19604,0.0910827,0.07097103,0.04909743,0.03648465,0.02713788,0.1316316,2.773499e-05,GALAXY
1237650370475458844,22.51186,20.78421,19.08886,18.38437,17.91482,0.201476,0.1569887,0.1086041,0.08070446,0.06002929,0.3927808,5.233276e-05,GALAXY
1237650370475458903,21.86712,20.90899,20.23948,19.51789,19.16489,0.1987091,0.1548328,0.1071126,0.07959612,0.0592049,0.6143992,0.000225245,GALAXY
1237650370475458999,24.44251,21.71851,19.87692,19.04838,18.54353,0.2007908,0.1564548,0.1082347,0.08043001,0.05982515,0.4325768,8.182395e-05,GALAXY
1237650370475459033,23.70667,21.90809,20.20476,19.29465,18.67736,0.201218,0.1567877,0.108465,0.08060111,0.05995242,0.4730651,8.240737e-05,GALAXY
1237650370475459052,24.64324,21.91008,20.45006,19.6679,19.10327,0.2009789,0.1566014,0.1083361,0.08050535,0.05988119,0.4293888,0.0001086436,GALAXY
1237650370475459056,22.92434,21.09304,19.37106,18.63545,18.11988,0.208425,0.1624033,0.1123499,0.08348799,0.06209973,0.405911,4.369185e-05,GALAXY
1237650370475459397,23.57482,21.90462,20.30249,19.4905,19.17655,0.1959921,0.1527157,0.105648,0.07850782,0.05839539,0.4024403,0.0001104929,GALAXY
1237650370475459410,22.83325,21.35868,19.39701,18.69882,18.24325,0.197954,0.1542444,0.1067056,0.07929368,0.05897993,0.4043828,6.511655e-05,GALAXY
1237650370475524554,22.76985,21.09359,19.26014,18.57388,18.07305,0.2027255,0.1579624,0.1092776,0.08120499,0.06040159,0.4022378,6.371722e-05,GALAXY
